종가,오픈,고가,저가
1121.5,1120.8,1124.8,1116.1
1117.65,1110.85,1123.45,1110.75
1131.12,1117.67,1133.17,1117.67
1119.5,1122.4,1122.7,1117.5
1112.5,1113.4,1119.5,1109.4
1111.25,1112.65,1117.75,1109.75
1117.5,1112.4,1122.8,1112.3
1127.55,1114.85,1132.75,1113.75
1122.5,1138.5,1143.4,1122.5
1129.25,1121.85,1130.75,1119.75
1126.3,1130.6,1135.5,1122.35
1115.85,1118.15,1122.95,1113.05
1125.5,1119.9,1125.5,1117.65
1132.5,1124.4,1135.6,1120.4
1123.75,1138.75,1131.15,1122.65
1124.5,1120.5,1127.5,1118.4
1118.59,1121.16,1122.26,1116.06
1111.5,1118.23,1118.6,1110.9
1108.64,1111.86,1112.46,1108.64
1107.51,1108.76,1110.68,1105.78
1108.1,1104.8,1108.8,1104.8
1116.0,1108.1,1116.8,1107.9
1117.0,1118.0,1122.1,1114.4
1110.6,1115.0,1118.7,1109.85
1111.5,1111.3,1111.8,1106.7
1127.45,1110.15,1128.75,1110.15
1135.5,1128.0,1136.15,1125.1
1130.8,1133.8,1135.8,1125.5
1142.5,1132.3,1147.75,1132.3
1130.9,1138.7,1143.7,1130.15
1132.15,1131.0,1135.8,1127.9
1127.0,1132.15,1133.0,1124.65
1164.5,1128.5,1173.4,1128.5
1147.95,1163.0,1169.9,1138.4
1142.15,1147.45,1150.2,1135.3
1155.95,1138.9,1166.1,1137.7
1165.5,1155.45,1165.55,1151.2
1158.0,1165.0,1165.0,1147.7
1150.0,1158.0,1159.4,1146.2
1150.0,1151.0,1155.7,1142.8
1137.75,1144.25,1147.05,1136.05
1138.45,1137.75,1138.45,1131.15
1132.5,1137.7,1138.0,1129.7
1143.0,1132.5,1147.4,1132.5
1139.0,1143.5,1146.0,1136.8
1143.5,1138.5,1145.2,1135.3
1145.9,1144.0,1147.2,1138.9
1139.25,1145.15,1145.15,1137.05
1155.25,1139.25,1158.2,1139.25
1155.25,1155.25,1161.15,1149.05
1156.05,1153.9,1156.1,1148.6
1155.1,1156.05,1172.9,1150.8
1156.15,1155.1,1157.6,1151.15
1154.3,1155.55,1158.3,1150.05
1152.3,1154.3,1156.3,1148.05
1150.95,1152.15,1156.25,1148.7
1149.1,1150.9,1153.6,1148.0
1144.5,1150.4,1150.9,1144.5
1146.5,1143.5,1148.7,1142.2
1130.95,1146.35,1146.35,1128.85
1121.25,1131.35,1132.05,1119.45
1124.65,1120.85,1131.75,1120.85
1125.5,1125.8,1127.2,1120.3
1123.5,1125.5,1129.5,1123.3
1123.2,1122.5,1124.9,1117.7
1122.2,1122.4,1126.7,1118.6
1127.5,1124.2,1134.05,1120.1
1126.0,1127.0,1131.4,1121.8
1111.5,1126.5,1126.5,1114.1
1112.5,1109.5,1114.9,1107.5
1115.05,1112.5,1119.3,1109.4
1115.5,1115.05,1119.0,1110.4
1113.0,1117.0,1121.5,1112.95
1112.6,1111.5,1114.9,1108.2
1124.5,1112.6,1126.6,1112.6
1118.5,1120.3,1125.4,1117.4
1118.5,1118.5,1123.1,1118.3
1121.0,1120.0,1123.6,1118.05
1116.5,1120.5,1121.2,1116.5
1114.45,1115.15,1118.15,1110.85
1115.95,1112.75,1115.95,1110.25
1119.88,1116.22,1125.12,1116.22
1113.95,1119.35,1119.65,1113.95
1113.95,1113.95,1113.95,1113.95
1113.95,1113.95,1113.95,1113.95
1113.95,1113.95,1113.95,1113.95
1103.5,1115.1,1115.1,1103.5
1101.0,1104.0,1107.6,1101.0
1110.65,1099.25,1111.4,1099.25
1119.0,1112.4,1124.9,1109.8
1126.65,1117.25,1131.75,1113.65
1124.0,1121.5,1126.9,1118.4
1123.8,1126.0,1128.4,1120.5
1117.8,1123.75,1127.1,1117.8
1114.85,1114.35,1118.35,1113.55
1112.4,1117.0,1117.0,1114.0
1119.35,1110.25,1120.35,1110.25
1129.8,1122.0,1133.0,1120.9
1130.2,1129.8,1136.9,1122.9
1131.25,1127.95,1136.55,1124.65
1127.0,1131.5,1131.5,1125.5
1125.35,1126.7,1131.5,1124.15
1126.75,1127.4,1127.4,1123.25
1123.5,1126.4,1132.9,1122.25
1115.9,1123.45,1127.2,1115.9
1117.85,1115.25,1117.85,1113.85
1119.35,1120.5,1123.3,1117.8
1115.95,1118.35,1121.1,1115.95
1114.7,1115.45,1118.3,1112.4
1127.45,1114.95,1127.45,1114.8
1126.35,1126.15,1128.35,1122.15
1125.0,1125.25,1136.95,1124.55
1135.05,1124.75,1139.3,1122.3
1137.95,1135.55,1139.95,1130.6
1135.45,1137.95,1145.8,1133.8
1125.45,1133.35,1134.05,1125.45
1121.45,1127.1,1130.6,1120.95
1121.0,1120.95,1124.4,1120.2
1122.9,1121.0,1127.1,1119.3
1118.95,1121.75,1124.15,1118.95
1111.05,1115.25,1117.05,1111.05
1114.1,1112.65,1117.45,1112.45
1111.5,1114.0,1117.3,1110.2
1103.45,1107.0,1110.8,1099.5
1096.5,1103.0,1104.1,1094.7
1087.05,1098.35,1098.45,1085.35
1088.45,1085.5,1089.8,1081.9
1087.5,1087.4,1092.9,1086.5
1085.85,1089.0,1089.0,1084.0
1087.6,1086.0,1091.3,1083.0
1082.5,1088.4,1089.2,1082.3
1088.25,1083.1,1088.25,1082.9
1092.0,1086.9,1095.8,1086.9
1086.55,1093.4,1096.7,1085.8
1086.3,1086.0,1094.2,1085.55
1088.0,1085.9,1091.8,1084.9
1088.5,1086.4,1092.3,1086.3
1085.45,1094.0,1095.2,1084.95
1078.7,1083.9,1086.9,1077.5
1080.95,1077.9,1082.5,1077.9
1081.05,1084.25,1084.25,1080.05
1082.28,1080.53,1083.03,1080.53
1083.0,1080.9,1087.7,1080.9
1077.55,1080.9,1082.5,1077.55
1073.4,1078.0,1078.0,1071.0
1068.5,1071.0,1075.5,1068.5
1065.95,1070.25,1070.25,1064.0
1073.5,1068.4,1073.5,1068.4
